nama_pemda,tahun,pendapatan_total,belanja_total,blj_tdk_langsung,blj_pegawai,blj_hibah,blj_bansos,blj_bagi_hasil,blj_bantuan_keu,blj_tdk_terduga,blj_langsung,blj_barang_jasa,blj_modal,pembiayaan,rasio_pegawai_pct,rasio_modal_pct,rasio_barang_jasa_pct,rasio_bansos_pct,rasio_hibah_pct,rasio_bantuan_keu_pct,ipm,tpt,kemiskinan_pct,pdrb_per_kapita,ipm_lag1,kemiskinan_lag1,delta_ipm,delta_kemiskinan,belanja_per_pdrb,klaster
Kab. Tuban,2018,2455.66433497663,2415.2115800941297,1387.84307677774,855.49518876674,139.34896779701,11.847588415,23.25400490099,357.78402063,0.113306268,1027.36850331639,532.40481999494,494.96368332145,265.480664126,35.42,20.49,22.04,0.49,5.77,14.81,67.08,3.56,14.64,56087,66.37,15.02,0.71,-0.38,43061.8785,1
Kab. Tulungagung,2014,2114.558431869,2046.805679451,1381.484204682,1180.536451345,105.664594669,13.8668213,79.418389996,0.9419531,0.56336955,665.321474769,349.775308719,315.54616605,170.582163283,57.68,15.42,17.09,0.68,5.16,0.05,69.96,3.16,8.16,22476,69.22,8.6,0.74,-0.44,91066.2787,1
Kab. Tulungagung,2015,2369.737223686,2317.348435618,1441.414047963,1135.619984356,90.808473193,14.00262934,8.678815354,192.0277734,0.232925,875.934387655,431.347308138,444.587079517,517.226619473,49.01,19.19,18.61,0.6,3.92,8.29,70.54,3.4,8.13,24667,69.96,8.16,0.58,-0.03,93945.2887,1
Kab. Tulungagung,2016,2570.280444853,2606.291974461,1534.649974461,1168.27,55.27805624,14.17307192,6.776270151,289.106,1.04657615,1071.642,497.301,574.341,245.11127342,44.82,22.04,19.08,0.54,2.12,11.09,71.1,3.04,7.84,27138,70.54,8.13,0.56,-0.29,96038.4691,1
Kab. Tulungagung,2017,2598.104487656,2576.151524387,1463.871487598,1032.662015615,85.723778301,9.72919715,6.68105433,329.067561202,0.007881,1112.280036789,716.437198809,395.84283798,185.779741007,40.09,15.37,27.81,0.38,3.33,12.77,71.74,2.95,7.42,29926,71.1,7.84,0.64,-0.42,86084.0582,1
Kab. Tulungagung,2018,2701.54860884746,2576.19195519008,1479.99684000633,1009.56114162933,117.41560931,7.8603,7.796562147,337.36322692,0.0,1096.19511518375,725.53321261266,370.66190257109,214.33751882715,39.19,14.39,28.16,0.31,4.56,13.1,72.14,3.23,7.12,33162,71.74,7.42,0.4,-0.3,77685.0599,0
Kota Batu,2014,703.680192404,632.737653584,379.115406227,282.58265261,61.671275164,14.489062453,0.0,20.372416,0.0,253.622247357,116.995361823,136.626885534,114.54576688,44.66,21.59,18.49,2.29,9.75,3.22,72.51,4.54,4.38,25993,71.9,4.66,0.61,-0.28,24342.6174,0
Kota Batu,2015,725.754996854,819.751076487,390.297503879,279.791171091,72.101770068,15.157874146,0.0,22.456151759,0.790536815,429.453572608,147.571270561,281.882302047,276.980531769,34.13,34.39,18.0,1.85,8.8,2.74,73.06,4.82,4.42,28466,72.51,4.38,0.55,0.04,28797.5506,0
Kota Batu,2016,803.450030048,819.687295763,446.489295763,308.089,90.188121331,7.905270639,8.156890439,31.023137854,1.1268755,373.198,198.829,174.369,88.492226068,37.59,21.27,24.26,0.96,11.0,3.78,73.72,4.29,4.25,31279,73.06,4.42,0.66,-0.17,26205.6746,0
Kota Batu,2017,849.443705763,779.141659105,429.731708,290.232303415,77.75841185,9.898147596,8.65689034,42.364390799,0.821564,349.409951105,206.827312665,142.58263844,68.268701558,37.25,18.3,26.55,1.27,9.98,5.44,74.31,4.27,4.0,34643,73.72,4.25,0.59,-0.25,22490.5943,0
Kota Batu,2018,849.443705763,851.7270375924,520.263338474,351.688462252,68.726575711,14.763730628,9.137919683,75.7129202,0.23373,331.46369911840003,206.06236015052,125.40133896788,138.54900058748,41.29,14.72,24.19,1.73,8.07,8.89,74.88,4.49,3.71,38564,74.31,4.0,0.57,-0.29,22086.0657,0
Kota Blitar,2014,703.295836804,659.079331973,351.92554503,305.254679792,27.109483912,19.044680574,0.0,0.386238752,0.130462,307.153786943,180.82745938,126.326327563,62.958324232,46.32,19.17,27.44,2.89,4.11,0.06,76.84,5.65,8.57,35848,76.25,8.98,0.59,-0.41,18385.3864,0
Kota Blitar,2015,769.743723209,782.148792597,392.771853302,332.921686109,31.959577404,26.863078749,0.0,0.48091104,0.0,389.376939295,221.040113074,168.336826221,203.317793493,42.57,21.52,28.26,3.43,4.09,0.06,77.41,5.99,8.52,39199,76.84,8.57,0.57,-0.05,19953.2843,0
